elevatorunitId,elevatorunitnumber,CpibUuid,countryname,DESCRIPTION,ItemFieldId,PerformanceStartDate,PerformanceEndDate,Readvalue
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,19
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,72
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,4
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,63
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,62
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,2
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,47
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,68
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,3
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,55
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,36
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,10
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
77429,47AK457,e9a684b4-d01d-48d5-aadb-782d3c9a83d1,Germany,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,28
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,248
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,4
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,8
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,4
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,0
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,4
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,5
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,0
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,5
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,114
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,4
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,2
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,60
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,14
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,0
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,1
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,10
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,10
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Reversals,door_reversals,03-05-2025 01:43,04-05-2025 01:43,0
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Slow Door Operations,slow_door_operations,03-05-2025 01:43,04-05-2025 01:43,0
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Door Operations,door_operations,03-05-2025 01:43,04-05-2025 01:43,9
762,SLCY9,5c83f534-f708-4604-94c6-eb13c3a34682,France,Total Door Cycles,total_door_cycles,03-05-2025 01:43,04-05-2025 01:43,8
